"cityid","provinceid","cityname","recordstatus"
1,1,"BADUNG",1
2,1,"BANGLI",1
3,1,"BULELENG",1
4,1,"DENPASAR",1
5,1,"GIANYAR",1
6,1,"JEMBRANA",1
7,1,"KARANG ASEM",1
8,1,"SEMARAPURA",1
9,1,"TABANAN",1
10,2,"CILEGON",1
11,2,"KABUPATEN TANGERANG",1
12,2,"LEBAK",1
13,2,"PANDEGLANG",1
14,2,"SERANG",1
15,2,"TANGERANG",1
16,3,"BENGKULU SELATAN",1
17,3,"BENGKULU UTARA",1
18,3,"KAUR",1
19,3,"KODYA BENGKULU",1
20,3,"REJANG LEBONG",1
21,3,"SELUMA",1
22,4,"BANTUL",1
23,4,"GUNUNGKIDUL",1
24,4,"KULONPROGO",1
25,4,"SLEMAN",1
26,4,"YOGYAKARTA",1
27,5,"JAKARTA BARAT",1
28,5,"JAKARTA PUSAT",1
29,5,"JAKARTA SELATAN",1
30,5,"JAKARTA TIMUR",1
31,5,"JAKARTA UTARA",1
32,6,"BATANGHARI",1
33,6,"BUNGO",1
34,6,"JAMBI",1
35,6,"KERINCI",1
36,6,"MERANGIN",1
37,6,"MUARO JAMBI",1
38,6,"SAROLANGUN",1
39,6,"TANJAB BARAT",1
40,6,"TANJAB TIMUR",1
41,6,"TEBO",1
42,7,"BANDUNG",1
43,7,"BEKASI",1
44,7,"BOGOR",1
45,7,"CIANJUR",1
46,7,"CIMAHI",1
47,7,"CIREBON",1
48,7,"DEPOK",1
49,7,"GARUT",1
50,7,"INDRAMAYU",1
51,7,"JAWA BARAT",1
52,7,"KAB. SUKABUMI",1
53,7,"KABUPATEN CIAMIS",1
54,7,"KARAWANG",1
55,7,"KOTA BANJAR",1
56,7,"KOTA MADYA CIREBON",1
57,7,"KOTA SUKABUMI",1
58,7,"KOTAMADYA BEKASI",1
59,7,"KOTATASIKMALAYA",1
60,7,"KUNINGAN",1
61,7,"MAJALENGKA",1
62,7,"PURWAKARTA",1
63,7,"SUBANG",1
64,7,"SUMEDANG",1
65,7,"TASIKMALAYA",1
66,8,"BANJARNEGARA",1
67,8,"BANYUMAS",1
68,8,"BATANG",1
69,8,"BLORA",1
70,8,"BOYOLALI",1
71,8,"CILACAP",1
72,8,"DEMAK",1
73,8,"GROBOGAN",1
74,8,"JEPARA",1
75,8,"KAB. BREBES",1
76,8,"KAB. PEKALONGAN",1
