"groupmenuauthid","groupaccessid","menuauthid","menuvalueid"
1,1,1,"1"
2,1,1,"12"
3,1,1,"15"
4,1,1,"16"
5,1,1,"18"
7,1,1,"0"
8,1,2,"1"
9,3,1,"1"
10,3,1,"2"
11,3,1,"3"
12,3,1,"4"
13,3,1,"5"
14,3,1,"6"
15,3,1,"0"
16,3,2,"1"
17,4,1,"0"
18,4,1,"1"
19,4,1,"2"
20,4,1,"3"
21,4,1,"4"
22,4,1,"5"
23,4,1,"6"
24,2,1,"1"
25,2,1,"4"
26,2,1,"5"
27,1,3,"1"
28,1,3,"2"
29,1,3,"3"
30,1,3,"4"
31,1,3,"5"
32,1,3,"6"
33,1,3,"7"
34,1,3,"8"
35,1,3,"9"
36,1,3,"10"
37,1,3,"11"
38,1,3,"12"
39,1,3,"13"
40,1,3,"14"
41,1,1,"7"
42,1,1,"8"
43,1,1,"9"
44,2,3,"8"
45,2,3,"9"
46,20,3,"8"
47,20,3,"9"
49,2,3,"18"
52,29,3,"36"
53,29,3,"6"
54,21,3,"36"
62,1,3,"18"
63,21,1,"1"
64,21,1,"2"
65,21,1,"3"
66,21,1,"4"
67,21,1,"5"
68,21,1,"6"
69,21,1,"7"
70,21,1,"8"
71,21,1,"9"
72,21,1,"10"
73,21,1,"11"
74,21,3,"18"
75,0,3,"18"
76,14,3,"28"
77,14,3,"25"
78,14,3,"26"
79,14,3,"27"
80,14,3,"28"
81,14,3,"25"
82,14,3,"26"
83,14,3,"27"
84,14,3,"29"
85,48,3,"75"
86,48,3,"74"
87,47,3,"74"
90,50,1,"1"
91,45,1,"1"
92,44,1,"1"
93,41,1,"1"
94,40,1,"1"
95,37,1,"12"
96,50,3,"79"
97,48,3,"76"
98,47,3,"76"
99,47,3,"72"
102,47,1,"15"
103,64,3,"53"
104,64,1,"12"
105,65,3,"53"
106,65,3,"54"
107,65,3,"51"
108,65,3,"49"
109,65,3,"56"
110,65,1,"15"
111,65,1,"12"
112,98,3,"49"
113,98,3,"56"
114,98,1,"12"
115,56,3,"65"
116,56,3,"62"
117,56,3,"64"
118,56,3,"46"
119,56,3,"63"
120,56,3,"66"
121,56,1,"12"
122,56,1,"15"
123,57,3,"65"
124,57,3,"62"
125,57,3,"64"
126,57,3,"46"
127,57,3,"63"
128,57,3,"66"
129,57,3,"61"
130,57,1,"12"
131,57,1,"15"
132,58,3,"65"
133,58,3,"62"
134,58,3,"64"
135,58,3,"46"
136,58,3,"63"
137,58,3,"66"
138,58,3,"59"
139,58,1,"12"
140,58,1,"15"
141,50,3,"107"
142,50,3,"108"
143,50,3,"115"
144,50,3,"116"
145,50,3,"117"
146,50,3,"119"
149,50,3,"123"
150,50,3,"106"
153,90,3,"107"
154,90,3,"108"
155,90,3,"115"
156,90,3,"116"
157,90,3,"117"
158,90,3,"119"
159,90,3,"121"
160,90,3,"122"
161,90,3,"123"
162,91,3,"106"
163,91,3,"107"
164,91,3,"108"
165,91,3,"115"
166,91,3,"116"
167,91,3,"117"
168,91,3,"119"
169,91,3,"121"
170,91,3,"122"
171,91,3,"123"
172,92,3,"120"
173,92,3,"107"
174,92,3,"108"
175,92,3,"115"
176,92,3,"116"
177,92,3,"117"
178,92,3,"119"
179,92,3,"121"
180,92,3,"122"
181,92,3,"123"
182,47,3,"53"
183,47,3,"54"
184,47,3,"51"
185,47,3,"65"
186,47,3,"62"
187,47,3,"64"
188,47,3,"46"
189,47,3,"63"
190,47,3,"66"
191,47,3,"59"
192,47,3,"61"
193,47,3,"79"
194,47,3,"49"
195,47,3,"56"
196,47,3,"51"
197,47,3,"107"
198,47,3,"108"
199,47,3,"115"
200,47,3,"116"
201,47,3,"117"
202,47,3,"119"
203,47,3,"121"
204,47,3,"122"
205,47,3,"123"
206,47,3,"120"
207,47,3,"106"
208,47,3,"50"
209,47,3,"48"
210,47,3,"69"
211,47,3,"45"
212,47,3,"47"
213,37,3,"50"
214,37,3,"48"
215,37,3,"69"
216,44,3,"50"
217,44,3,"48"
218,44,3,"69"
219,44,3,"45"
220,45,3,"50"
221,45,3,"48"
222,45,3,"69"
223,45,3,"47"
224,44,1,"15"
225,50,3,"75"
226,50,3,"74"
227,50,3,"76"
228,50,3,"72"
229,99,3,"49"
230,99,3,"56"
231,99,1,"12"
232,99,3,"76"
233,99,3,"72"
234,99,3,"74"
235,99,3,"75"
236,99,3,"53"
238,98,3,"125"
241,99,3,"125"
242,47,3,"125"
243,48,3,"125"
244,50,1,"18"
246,50,1,"16"
247,47,1,"16"
248,47,1,"18"
249,98,1,"16"
250,98,1,"18"
251,90,1,"1"
252,50,3,"50"
253,50,3,"48"
254,50,3,"69"
255,50,3,"45"
256,50,3,"47"
257,50,3,"53"
258,50,3,"54"
259,50,3,"51"
260,50,3,"65"
261,50,3,"62"
262,50,3,"64"
263,50,3,"46"
264,50,3,"63"
265,50,3,"66"
266,50,3,"59"
267,50,3,"61"
268,50,3,"83"
269,50,3,"49"
270,50,3,"125"
271,50,3,"56"
275,50,3,"121"
276,50,3,"122"
279,50,3,"120"
280,37,1,"15"
281,37,1,"16"
282,37,1,"18"
283,44,1,"12"
284,44,1,"16"
285,44,1,"18"
286,45,1,"12"
287,45,1,"15"
288,45,1,"16"
289,45,1,"18"
290,98,3,"76"
291,98,3,"72"
292,98,3,"74"
293,98,3,"75"
294,98,3,"53"
295,98,3,"54"
296,98,3,"51"
297,98,3,"65"
298,98,3,"62"
299,98,3,"64"
300,98,3,"46"
301,98,3,"63"
302,98,3,"66"
303,98,3,"61"
304,98,3,"59"
305,98,3,"83"
306,98,3,"79"
307,98,3,"49"
308,98,3,"56"
309,98,3,"108"
310,98,3,"115"
311,98,3,"121"
312,98,3,"122"
313,98,3,"124"
314,98,3,"106"
315,98,3,"120"
316,50,1,"12"
317,50,3,"127"
318,37,3,"127"
319,45,3,"127"
320,44,3,"127"
321,50,3,"80"
322,101,3,"80"
323,101,1,"1"
324,45,3,"45"
325,37,1,"1"
326,48,1,"16"
327,102,1,"98"
