"menuaccessid","menucode","menuname","description","menuurl","recordstatus"
1,"hrtas","absstatus","Absence Status","/absstatus",1
2,"mmmd","product","Material Master","/product",1
3,"mmacc","productacc","Material Master - Accounting View","/productacc",1
4,"emer","eventrequest","Event Request","/eventrequest",1
5,"emep","eventproperty","Event Property","/eventproperty",1
6,"emepa","eventparticipant","Event Participant","/eventparticipant",1
7,"emeco","eventconsump","Event Consumption","/eventconsump",1
8,"woos","workorderstaff","Work Order Staff","/workorderstaff",1
9,"wowo","workorder","Work Order","/workorder",1
10,"womy","myworkorder","My Work Order","/myworkorder",1
11,"soma","menuaccess","Menu Access","/menuaccess",1
12,"soga","groupaccess","Group Access","/groupaccess",1
13,"sogm","groupmenu","Group Menu","/groupmenu",1
14,"sua","useraccess","User Access","/useraccess",1
15,"hrtmar","absrule","Absence Rule","/absrule",1
16,"hrtmas","absschedule","Absence Schedule","/absschedule",1
17,"aacc","account","Chart of Account","/account",1
18,"aap","accperiod","Account Period","/accperiod",1
19,"coab","addressbook","Address Book","/addressbook",1
20,"coat","addresstype","Address Type","/addresstype",1
21,"hrap","applicant","Applicant","/applicant",1
22,"hrape","applicanteducation","Applicant Education","/applicanteducation",1
23,"hrapf","applicantfamily","Applicant Family","/applicantfamily",1
24,"hrapfr","applicantforeignlanguage","Applicant Foreign Language","/applicantforeignlanguage",1
25,"hrapit","applicantidentity","Applicant Identity","/applicantidentity",1
26,"hrapin","applicantinformal","Applicant Informal","/applicantinformal",1
27,"hrapins","applicantinsurance","Applicant Insurance","/applicantinsurance",1
28,"hrapj","applicantjamsostek","Applicant Jamsostek","/applicantjamsostek",1
29,"smsasph","assphonegroup","Phone Group Assignment","/assphonegroup",1
30,"cobn","bank","Bank","/bank",1
31,"coba","bankaddress","Bank Address","/bankaddress",1
32,"cobc","bankcontact","Bank Contact","/bankcontact",1
33,"hrmbt","bloodtype","Blood Type","/bloodtype",1
34,"ibs","bsheader","Beginning Stock","/bsheader",1
35,"abu","budget","Budget","/budget",1
