"provinceid","countryid","provincename","recordstatus"
1,92,"BALI",1
2,92,"BANTEN",1
3,92,"BENGKULU",1
4,92,"D I YOGYAKARTA",1
5,92,"DKI JAKARTA",1
6,92,"JAMBI",1
7,92,"JAWA BARAT",1
8,92,"JAWA TENGAH",1
9,92,"JAWA TIMUR",1
10,92,"KALIMANTAN BARAT",1
11,92,"KALIMANTAN SELATAN",1
12,92,"KALIMANTAN TENGAH",1
13,92,"KALIMANTAN TIMUR",1
14,92,"KEP. BANGKA BELITUNG",1
15,92,"KEPULAUAN RIAU",1
16,92,"LAMPUNG",1
17,92,"MALUKU",1
18,92,"MALUKU UTARA",1
19,92,"N.A.D",1
20,92,"NUSA TENGGARA BARAT",1
21,92,"NUSA TENGGARA TIMUR",1
22,92,"PAPUA",1
23,92,"R I A U",1
24,92,"SULAWESI SELATAN",1
25,92,"SULAWESI TENGAH",1
26,92,"SULAWESI TENGGARA",1
27,92,"SULAWESI UTARA",1
28,92,"SUMATERA BARAT",1
29,92,"SUMATERA SELATAN",1
30,92,"SUMATERA UTARA",1
