"usergroupid","useraccessid","groupaccessid","recordstatus"
1,1,1,1
54,45,38,1
55,46,56,1
56,48,37,1
57,50,37,1
58,69,37,1
59,47,39,1
60,78,1,1
61,45,42,1
62,45,43,1
63,47,43,1
64,47,42,1
66,45,44,1
67,48,38,1
68,46,69,1
69,50,38,1
70,50,42,1
71,48,42,1
72,46,42,1
73,47,38,1
76,90,38,1
78,76,47,1
79,74,47,1
80,75,48,1
81,72,42,1
82,76,42,1
83,74,42,1
84,75,42,1
85,79,39,1
86,79,49,1
88,79,50,1
89,79,51,1
90,1,52,1
91,79,42,1
92,57,53,1
93,59,54,1
94,57,42,1
95,59,42,1
97,53,60,0
98,54,60,0
99,54,62,0
101,53,62,0
102,53,64,1
104,54,64,1
105,51,65,1
106,51,42,1
107,53,42,1
108,54,42,1
109,126,53,1
110,57,67,1
111,57,68,1
112,57,68,1
113,59,54,1
114,66,70,1
115,59,53,1
116,59,42,1
117,126,42,1
118,62,70,1
119,62,72,1
120,61,70,1
121,61,72,1
122,65,69,1
123,65,72,1
124,59,67,1
125,65,67,1
126,64,67,1
127,61,67,1
128,62,67,1
129,66,67,1
130,63,67,1
131,64,69,1
132,64,72,1
133,61,69,1
134,63,72,1
136,110,42,1
137,81,42,1
138,111,42,1
139,95,42,1
140,96,42,1
141,96,74,1
142,96,75,1
143,95,75,1
144,95,74,1
145,111,74,1
146,111,75,1
147,81,75,1
148,81,74,1
149,110,74,1
150,110,75,1
151,110,76,1
152,110,76,1
153,111,76,1
154,95,76,1
155,96,76,1
156,92,77,1
157,65,56,1
158,64,56,1
159,61,57,1
160,63,56,1
161,62,56,1
163,59,58,1
164,51,79,1
165,53,79,1
166,54,79,1
167,51,80,1
168,53,80,1
169,99,42,1
170,100,42,1
171,101,42,1
172,102,42,1
173,103,42,1
174,114,42,1
175,105,42,1
176,106,42,1
177,115,42,1
178,116,42,1
179,117,42,1
180,118,42,1
181,107,42,1
182,108,42,1
183,119,42,1
184,99,87,1
187,100,87,1
188,101,87,1
189,102,87,1
190,103,87,1
191,114,87,1
192,114,88,1
193,106,90,1
195,115,90,1
196,116,90,1
197,117,90,1
198,118,90,1
199,107,90,1
200,108,90,1
201,119,90,1
202,120,90,1
203,120,91,1
204,120,42,1
205,69,42,1
206,69,46,1
207,80,93,1
208,121,42,1
209,122,42,1
210,122,90,1
211,121,90,1
212,123,42,1
213,123,90,1
221,75,94,1
222,120,94,1
223,59,94,1
224,47,94,1
225,65,42,1
226,46,72,1
227,46,67,1
230,93,42,1
231,93,74,1
232,93,75,1
233,93,76,1
234,124,42,1
235,124,74,1
236,124,75,1
237,124,76,1
238,82,96,1
239,72,47,1
240,72,49,1
241,72,51,1
242,74,49,1
243,76,49,1
244,82,97,1
245,82,75,1
246,46,71,1
247,56,39,1
248,56,49,1
249,56,42,1
250,125,42,1
253,49,39,1
254,49,49,1
255,49,42,1
256,56,98,1
257,65,70,1
258,125,79,1
259,49,98,1
261,65,43,1
262,59,71,1
263,66,72,1
264,61,42,1
265,59,70,1
266,59,72,1
269,83,1,1
270,127,38,1
271,127,43,1
272,127,42,1
273,127,37,1
274,50,43,1
275,50,42,1
277,127,42,1
278,48,43,1
279,66,56,1
280,69,43,1
281,69,38,1
282,80,101,1
283,128,42,1
284,128,69,1
286,128,56,1
287,128,67,1
288,128,71,1
289,48,42,1
290,86,1,1
291,45,39,1
292,125,64,1
293,56,50,1
294,56,51,1
295,49,50,1
296,49,51,1
297,98,102,1
298,98,42,1
299,97,42,1
300,97,103,1
301,92,74,1
302,92,75,1
303,92,76,1
304,92,42,1
305,47,44,1
308,129,39,1
309,129,49,1
310,129,42,1
311,129,98,1
312,129,50,1
313,129,51,1
314,130,42,1
315,130,104,1
316,131,43,1
317,132,43,1
318,130,105,1
319,144,39,1
320,144,49,1
321,144,42,1
322,144,98,1
323,144,50,1
324,144,51,1
325,146,39,1
326,146,42,1
327,146,49,1
328,146,50,1
329,146,51,1
330,146,98,1
331,145,38,1
332,145,43,1
334,145,39,1
335,76,39,1
336,76,37,1
337,76,51,1
338,76,50,1
339,145,37,1
340,90,91,1
341,80,43,1
342,119,43,1
343,108,43,1
344,90,42,1
345,75,49,1
346,75,50,1
